Lan Chay,Time,Co Sac,Khong Sac
No.0,1.6025571823120117,33334.64225720141,6592.105263157894
No.1,1.6915628910064697,28783.023676940717,6592.105263157894
No.2,1.8413500785827637,27076.03090663778,6592.105263157894
No.3,1.7779309749603271,28793.650692031046,6592.105263157894
No.4,1.8693180084228516,32075.231872487093,6592.105263157894
No.5,1.8644180297851562,30334.82724998043,6592.105263157894
No.6,1.7181098461151123,27827.412217534875,6592.105263157894
No.7,1.8037259578704834,30907.339031614672,6592.105263157894
No.8,1.7499239444732666,29850.174644734077,6592.105263157894
No.9,1.8036839962005615,28261.003311843313,6592.105263157894
Average,1.7722580909729004,29724.33358610054,6592.105263157894
