Bo Du Lieu,GA,Greedy,Compare,,
No.0,3933.1557738693,3419.7742173629,2216.814159292,1.150121477,1.7742379339
No.1,1173.2419357204,891.4590747331,891.4590747331,1.3160917522,1.3160917522
No.2,537.4031323478,451.7583408476,451.7583408476,1.1895809856,1.1895809856
No.3,421.8538778158,372.4907063197,372.4907063197,1.1325218875,1.1325218875
No.4,359.7628282524,301.9891500904,301.9891500904,1.1913104433,1.1913104433
No.5,4403.8468047971,3419.7742173629,2216.814159292,1.28775952,1.9865656245
No.6,4610.2340670318,3422.6177292051,2216.814159292,1.3469906463,2.0796664654
No.7,4598.4605255183,3423.566829427,2216.814159292,1.3431782567,2.0743554466
No.8,4306.373977366,3424.0416166944,2216.814159292,1.2576873939,1.9425958461
No.9,4650.7494009125,3424.3265649904,2216.814159292,1.3581500808,2.0979428435
No.10,4034.5232652478,3419.7742173629,2216.814159292,1.1797630512,1.8199645867
No.11,4405.7840301759,3419.7742173629,2216.814159292,1.2883259976,1.9874395026
No.12,4512.8458502874,3419.7742173629,2216.814159292,1.3196326902,2.0357348546
No.13,4255.3666613146,3413.5009036462,2216.814159292,1.246628251,1.9195865578
No.14,4492.6739266017,3419.7742173629,2216.814159292,1.3137340775,2.0266353441
No.15,4472.4133725633,3419.7742173629,2216.814159292,1.3078095477,2.0174958527
No.16,41096.9407684868,22150.6522427394,6423.0769230769,1.8553377263,6.3983261077
No.17,1248557.30630791,103116.997276509,10659.5744680851,12.1081619838,117.1301265399
No.19,2203256.60515518,662224.639533908,19269.2307692308,3.3270531986,114.3406621438
No.20,4365.424926289,3217.9530778844,2216.814159292,1.3565843941,1.9692335995
No.21,4294.9595070681,3419.7742173629,2216.814159292,1.2559190268,1.9374468036
No.22,4311.1512495797,3477.0778713557,2216.814159292,1.2398776815,1.9447508631
No.23,4380.7511382366,3600.3279899476,2216.814159292,1.2167644588,1.97614722
No.24,4243.9116168701,3723.5781085395,2216.814159292,1.1397401889,1.9144192124
