Bo Du Lieu,Co Sac,Khong Sac
No.0,3419.7742173629163,2216.8141592920356
No.1,891.459074733096,891.459074733096
No.2,451.75834084761044,451.7583408476105
No.3,372.4907063197026,372.4907063197026
No.4,301.9891500904159,301.9891500904159
No.5,3419.7742173629163,2216.8141592920356
No.6,3422.6177292051398,2216.8141592920356
No.7,3423.566829426961,2216.8141592920356
No.8,3424.0416166943487,2216.8141592920356
No.9,3424.3265649903706,2216.8141592920356
No.10,3419.7742173629163,2216.8141592920356
No.11,3419.7742173629163,2216.8141592920356
No.12,3419.774217362916,2216.8141592920356
No.13,3413.500903646215,2216.8141592920356
No.14,3419.7742173629163,2216.8141592920356
No.15,3419.7742173629163,2216.8141592920356
No.16,22150.652242739357,6423.076923076923
No.17,103116.99727650938,10659.574468085106
No.19,662224.6395339081,19269.230769230766
No.20,3217.953077884412,2216.8141592920356
No.21,3419.7742173629163,2216.8141592920356
No.22,3477.07787135571,2216.8141592920356
No.23,3600.3279899475833,2216.8141592920356
No.24,3723.578108539458,2216.8141592920356
